Transaction_ID,Product_ID,Category,Price,Discount,Promotion_Flag,Customer_Age,Gender,Region,Month,Holiday_Flag,Weekend_Flag,Payment_Method,Store_Type,Loyalty_Status,Customer_Satisfaction,Delivery_Time_Days,Return_Flag,Shipping_Cost,Stock_Availability,Season,Customer_Income,Review_Score,Units_Sold,Loyalty_Points,Revenue,Profit
T100030,P1030,Grocery,69.64,13.69,1,28.0,Female,South,4,0,0,Debit Card,Offline,Gold,5,3,0,38.27,1,Winter,23261.0,2.0,328,32,18351.6,917.58
T100031,P1031,Electronics,58.01,29.88,1,63.0,Male,North,11,1,0,Debit Card,Offline,Silver,3,2,1,42.92,0,Autumn,22742.0,3.0,405,40,11392.65,2848.16
T100032,P1032,Electronics,4576.222285461763,39.96,0,62.0,Male,North,10,1,0,UPI,Offline,Silver,1,3,0,40.03,0,Summer,99450.0,3.0,345,34,10374.15,2593.54
T100033,P1033,Sports,62.43,6.67,1,40.0,Female,North,8,0,0,UPI,Online,Platinum,5,1,0,15.38,0,Autumn,89029.0,4.0,268,26,14943.68,1494.37
T100034,P1034,Sports,77.82,5.53,1,30.0,Male,North,1,1,0,Credit Card,Offline,Bronze,3,3,0,48.81,0,Summer,116211.0,5.0,292,29,21108.68,2110.87
T100035,P1035,Home,150.37,46.1,1,44.0,Male,North,9,0,0,Cash,Online,Bronze,5,2,0,32.49,0,Spring,58877.0,2.0,423,42,44106.21,6615.93
T100036,P1036,Clothing,81.26,37.56,1,58.0,Male,West,6,1,0,Cash,Online,Platinum,1,8,1,16.17,0,Summer,135548.0,3.0,514,51,22461.8,4492.36
T100037,P1037,Electronics,26.19,29.49,0,34.0,Female,North,2,0,0,UPI,Offline,Bronze,1,7,0,2.13,0,Summer,,2.0,233,23,-768.9,-192.22
T100038,P1038,Grocery,141.71,38.46,0,67.0,Male,East,3,1,0,UPI,Online,Platinum,5,1,0,49.4,0,Autumn,115758.0,5.0,409,40,42229.25,2111.46
T100039,P1039,Clothing,172.16,21.44,0,68.0,Female,North,5,0,0,Credit Card,Online,Silver,2,1,0,29.95,0,Autumn,129344.0,,227,22,34213.44,6842.69
T100040,P1040,Electronics,495.93,37.92,1,30.0,Female,North,11,0,0,Credit Card,Offline,Platinum,5,5,0,11.38,0,Summer,26922.0,4.0,425,42,194654.25,48663.56
T100041,P1041,Grocery,24.87,18.59,1,29.0,Female,North,12,0,0,Wallet,Offline,Gold,4,4,0,,0,Spring,105927.0,4.0,346,34,2172.88,108.64
T100042,P1042,Electronics,64.72,12.2,1,46.0,Female,North,6,0,1,Cash,Online,Gold,2,8,0,,0,Summer,38263.0,5.0,303,30,15913.56,3978.39
T100043,P1043,Sports,12.71,36.45,0,38.0,Male,North,9,0,0,Wallet,Online,Gold,1,8,0,47.57,0,Winter,73416.0,4.0,301,30,-7145.74,-714.57
T100044,P1044,Clothing,3184.979224140483,20.98,1,37.0,Female,North,2,0,0,Debit Card,Online,Silver,2,3,0,24.63,0,Summer,101486.0,1.0,321,32,19080.24,3816.05
T100045,P1045,Grocery,37.2,49.07,1,37.0,Male,North,5,0,0,Credit Card,Offline,Bronze,1,5,0,24.23,0,Spring,86436.0,,466,46,-5531.42,-276.57
T100046,P1046,Clothing,209.85,,0,48.0,Female,West,7,1,1,Cash,Online,Silver,1,7,0,39.73,0,Autumn,134120.0,3.0,322,32,61946.36,12389.27
T100047,P1047,Grocery,31.75,46.09,0,25.0,Male,North,11,1,0,Cash,Offline,Bronze,1,8,1,19.55,0,Winter,,5.0,400,40,-5736.0,-286.8
T100048,P1048,Grocery,16.74,,1,41.0,Male,East,12,1,1,Wallet,Online,Silver,4,3,0,9.83,0,Summer,105210.0,5.0,575,57,-17198.25,-859.91
T100049,P1049,Electronics,39.26,12.09,0,28.0,Male,West,11,0,0,UPI,Offline,Silver,4,8,0,38.42,0,Summer,126217.0,4.0,191,19,5189.47,1297.37
T100050,P1050,Sports,13.7,39.91,1,56.0,Male,South,7,0,0,UPI,Online,Gold,3,9,0,,0,Summer,125411.0,3.0,427,42,-11191.67,-1119.17
T100051,P1051,Grocery,92.37,21.65,1,50.0,Male,West,4,0,0,Credit Card,Online,Silver,4,3,0,2.29,0,Autumn,100292.0,4.0,333,33,23549.76,1177.49
T100052,P1052,Sports,12.86,45.88,0,59.0,Male,North,3,0,0,UPI,Offline,Gold,1,2,0,43.0,0,Spring,133778.0,4.0,319,31,-10533.38,-1053.34
T100053,P1053,Home,55.7,22.51,1,,Male,East,8,1,0,Debit Card,Offline,Silver,5,2,0,21.89,0,Winter,71700.0,2.0,399,39,13242.81,1986.42
T100054,P1054,Grocery,12.75,37.22,0,21.0,Male,North,2,1,0,Cash,Online,Platinum,2,5,0,14.46,0,Spring,66092.0,,412,41,-10081.64,-504.08
T100055,P1055,Sports,43.63,23.35,0,18.0,Male,North,5,0,1,UPI,Online,Gold,5,1,0,1.96,0,Spring,106164.0,4.0,275,27,5577.0,557.7
T100056,P1056,Electronics,172.49,11.39,1,49.0,Male,South,12,1,0,Credit Card,Online,Platinum,1,6,0,,0,Summer,55082.0,1.0,360,36,57996.0,14499.0
T100057,P1057,Electronics,70.28,9.97,0,28.0,Female,West,10,0,0,Debit Card,Online,Silver,5,7,0,16.64,0,Winter,35819.0,5.0,189,18,11398.59,2849.65
T100058,P1058,Electronics,29.83,21.27,1,47.0,Male,West,5,0,1,Wallet,Offline,Silver,2,5,0,3.53,0,Winter,44589.0,1.0,332,33,2841.92,710.48
T100059,P1059,Clothing,53.42,37.77,1,54.0,Male,North,1,1,1,Wallet,Online,Platinum,3,8,0,9.44,0,Autumn,83468.0,5.0,540,54,8451.0,1690.2
T100060,P1060,Clothing,55.29,30.25,0,36.0,Male,North,7,0,0,Debit Card,Offline,Bronze,3,6,1,36.84,0,Winter,54041.0,3.0,260,26,6510.4,1302.08
T100061,P1061,Clothing,76.01,34.43,0,68.0,Female,East,4,0,1,Credit Card,Offline,Bronze,4,1,0,34.34,0,Spring,102339.0,3.0,289,28,12016.62,2403.32
T100062,P1062,Home,20.97,14.12,0,53.0,Female,East,10,0,0,Wallet,Offline,Bronze,5,9,0,38.49,0,Summer,58284.0,1.0,205,20,1404.25,210.64
T100063,P1063,Clothing,82.67,24.07,1,51.0,Male,North,12,0,0,Cash,Offline,Silver,4,5,0,8.26,0,Summer,101594.0,4.0,337,33,19748.2,3949.64
T100064,P1064,Clothing,8.22,2.22,1,24.0,Male,North,2,0,0,Cash,Offline,Bronze,4,5,0,2.15,1,Summer,131172.0,4.0,217,21,1302.0,260.4
T100065,P1065,Grocery,35.13,40.88,1,62.0,Female,East,8,0,0,Credit Card,Offline,Bronze,5,1,0,23.43,0,Spring,58164.0,3.0,426,42,-2449.5,-122.48
T100066,P1066,Electronics,38.79,49.49,1,37.0,Male,East,4,0,0,Credit Card,Online,Silver,5,5,0,17.14,0,Autumn,44520.0,4.0,434,43,-4643.8,-1160.95
T100067,P1067,Home,85.06,20.34,1,29.0,Male,North,1,0,0,Cash,Online,Silver,2,3,0,38.84,0,Autumn,56192.0,2.0,301,30,19480.72,2922.11
T100068,P1068,Electronics,55.47,0.55,1,49.0,Female,East,8,0,0,Credit Card,Offline,Bronze,5,3,0,26.94,0,Winter,23179.0,3.0,193,19,10599.56,2649.89
T100069,P1069,Sports,20.41,8.49,1,19.0,Female,South,11,1,0,Debit Card,Online,Bronze,5,8,0,46.56,0,Summer,83679.0,5.0,309,30,3683.28,368.33
T100070,P1070,Grocery,27.4,32.63,0,39.0,Male,West,7,0,1,Credit Card,Offline,Platinum,4,9,0,3.06,0,Summer,121302.0,,360,36,-1882.8,-94.14
T100071,P1071,Electronics,62.74,30.6,1,58.0,Male,South,3,0,0,Cash,Offline,Silver,3,6,0,18.18,0,Summer,27248.0,4.0,779,34,11216.86,2804.22
T100072,P1072,Electronics,51.66,39.39,1,65.0,Male,North,3,0,0,UPI,Offline,Silver,1,3,0,20.26,0,Summer,33146.0,5.0,394,39,4834.38,1208.6
T100073,P1073,Home,36.4,12.69,0,57.0,Female,East,7,1,1,Credit Card,Online,Platinum,3,8,0,6.29,0,Summer,50144.0,5.0,353,35,8369.63,1255.44
T100074,P1074,Grocery,38.99,38.18,1,41.0,Male,North,2,0,1,Wallet,Online,Gold,5,3,0,29.15,0,Winter,81874.0,1.0,477,47,386.37,19.32
T100075,P1075,Grocery,88.88,34.4,1,67.0,Male,West,5,1,1,Debit Card,Online,Gold,1,7,0,2.01,0,Autumn,77540.0,1.0,523,52,28493.04,1424.65
T100076,P1076,Grocery,38.0,16.14,0,48.0,Female,South,7,0,0,Debit Card,Offline,Silver,5,2,0,,0,Autumn,143211.0,5.0,234,23,5115.24,255.76
T100077,P1077,Electronics,51.33,27.27,1,21.0,Male,West,6,0,0,Debit Card,Online,Silver,2,6,1,1.87,0,Spring,50744.0,3.0,328,32,7891.68,1972.92
T100078,P1078,Clothing,249.37,7.36,0,41.0,Male,North,10,0,0,Wallet,Offline,Bronze,5,8,0,43.67,0,Summer,55608.0,,186,18,45013.86,9002.77
T100079,P1079,Electronics,20.15,22.63,1,60.0,Male,South,7,0,0,Wallet,Offline,Gold,1,3,0,3.25,0,Autumn,83627.0,2.0,321,32,-796.08,-199.02
T100080,P1080,Home,14.94,44.06,1,34.0,Male,East,2,0,0,Debit Card,Online,Bronze,2,9,0,22.82,0,Autumn,20605.0,3.0,411,41,-11968.32,-1795.25
T100081,P1081,Grocery,94.49,21.06,0,57.0,Female,East,7,0,0,Debit Card,Offline,Gold,1,9,0,7.77,0,Winter,1696526.0,2.0,281,28,20633.83,1031.69
T100082,P1082,Clothing,33.95,41.98,0,36.0,Female,North,2,0,1,Debit Card,Offline,Platinum,2,3,0,6.66,0,Winter,,2.0,372,37,-2987.16,-597.43
T100083,P1083,Electronics,43.7,29.51,1,,Female,North,7,0,0,Credit Card,Offline,Bronze,4,3,0,36.06,0,Spring,41840.0,4.0,328,32,4654.32,1163.58
T100084,P1084,Clothing,31.6,9.59,1,55.0,Male,South,8,0,0,Wallet,Offline,Platinum,1,5,0,38.71,0,Spring,137725.0,1.0,297,29,6536.97,1307.39
T100085,P1085,Clothing,45.52,,0,51.0,Male,North,10,0,0,Cash,Offline,Platinum,4,9,0,36.96,0,Autumn,101282.0,4.0,292,29,4806.32,961.26
T100086,P1086,Grocery,167.16,25.3,1,64.0,Male,East,8,0,1,Credit Card,Online,Gold,4,1,0,20.2,0,Spring,90474.0,2.0,402,40,57027.72,2851.39
T100087,P1087,Grocery,95.73,19.93,0,50.0,Male,North,5,0,0,Cash,Offline,Silver,5,1,0,,0,Autumn,133840.0,4.0,244,24,18495.2,924.76
T100088,P1088,Home,99.84,5.98,0,23.0,Female,East,7,0,0,Credit Card,Offline,Silver,3,1,0,17.0,0,Winter,32192.0,4.0,194,19,18208.84,2731.33
T100089,P1089,Grocery,20.26,20.84,0,68.0,Male,North,11,0,1,Credit Card,Online,Platinum,2,4,0,12.26,0,Spring,117838.0,3.0,318,31,-184.44,-9.22
T100090,P1090,Electronics,24.39,3.64,1,53.0,Male,North,8,0,1,Cash,Online,Silver,1,7,0,49.83,0,Autumn,,4.0,229,22,4751.75,1187.94
T100091,P1091,Grocery,7.48,4.94,1,30.0,Male,North,4,0,1,Debit Card,Offline,Bronze,4,2,0,48.86,0,Autumn,139441.0,3.0,266,26,675.64,33.78
T100092,P1092,Grocery,30.98,20.8,1,64.0,Female,South,2,0,1,Cash,Online,Gold,5,3,0,29.59,0,Winter,46112.0,4.0,392,39,3990.56,199.53
T100093,P1093,Grocery,106.66,15.27,0,26.0,Male,South,7,1,0,UPI,Offline,Bronze,1,4,0,10.45,0,Autumn,,4.0,293,29,26777.27,1338.86
T100094,P1094,Grocery,78.4,,1,52.0,Male,South,1,1,1,Wallet,Online,Silver,5,1,0,11.92,0,Summer,27393.0,2.0,573,57,18404.76,920.24
T100095,P1095,Grocery,46.76,18.79,0,51.0,Male,East,12,0,0,UPI,Online,Platinum,1,2,0,26.04,0,Summer,,2.0,293,29,8195.21,409.76
T100096,P1096,Grocery,53.75,37.89,0,33.0,Male,North,2,0,0,Credit Card,Online,Gold,5,2,0,38.81,0,Autumn,,5.0,318,31,5043.48,252.17
T100097,P1097,Clothing,33.71,26.51,1,35.0,Male,West,10,0,0,Cash,Offline,Platinum,5,6,0,3.87,0,Spring,77945.0,5.0,384,38,2764.8,552.96
T100098,P1098,Electronics,63.01,35.2,1,35.0,Female,West,7,1,0,Debit Card,Online,Gold,3,4,0,34.38,1,Summer,108932.0,3.0,460,46,12792.6,3198.15
T100099,P1099,Electronics,93.33,13.01,0,55.0,Male,North,12,0,0,Debit Card,Online,Bronze,4,7,0,,0,Summer,50439.0,2.0,185,18,14859.2,3714.8
T100100,P1100,Electronics,17.62,47.1,1,67.0,Male,East,12,0,0,UPI,Online,Silver,2,8,0,42.21,0,Summer,54245.0,5.0,431,43,-12705.88,-3176.47
T100101,P1101,Grocery,67.34,26.5,0,60.0,Male,South,10,0,0,UPI,Offline,Bronze,2,2,0,26.61,0,Summer,56618.0,4.0,264,26,10781.76,539.09
T100102,P1102,Clothing,104.87,41.57,1,49.0,Male,South,1,0,0,Credit Card,Online,Platinum,1,2,0,49.48,0,Spring,54634.0,2.0,457,45,28928.1,5785.62
T100103,P1103,Grocery,40.83,18.25,0,24.0,Male,South,7,0,0,Wallet,Online,Bronze,1,5,0,37.65,0,Winter,77194.0,4.0,247,24,5577.26,278.86
T100104,P1104,Sports,89.17,5.01,1,40.0,Female,East,5,1,0,Credit Card,Online,Silver,3,4,0,24.86,0,Spring,86855.0,4.0,295,29,24827.2,2482.72
T100105,P1105,Clothing,391.61,33.69,0,40.0,Male,West,11,0,0,Debit Card,Online,Silver,1,2,1,7.06,0,Winter,89733.0,3.0,281,28,100575.52,20115.1
T100106,P1106,Clothing,50.75,0.39,1,63.0,Female,South,3,0,0,Cash,Online,Bronze,2,9,1,27.12,0,Summer,23135.0,2.0,208,20,10474.88,2094.98
T100107,P1107,Grocery,71.9,23.76,0,35.0,Female,North,11,0,0,UPI,Online,Gold,4,9,0,5.72,0,Summer,136303.0,4.0,288,28,13864.32,693.22
T100108,P1108,Clothing,32.57,9.64,0,24.0,Male,South,2,0,0,Debit Card,Online,Silver,3,4,1,,0,Spring,121075.0,3.0,201,20,4608.93,921.79
T100109,P1109,Electronics,61.98,31.37,0,59.0,Male,North,7,0,0,Credit Card,Offline,Silver,1,2,0,11.5,0,Spring,136819.0,1.0,245,24,7499.45,1874.86
T100110,P1110,Clothing,75.35,48.97,0,57.0,Female,South,9,0,1,Wallet,Offline,Silver,3,3,0,43.27,0,Winter,,1.0,351,35,9259.38,1851.88
T100111,P1111,Electronics,62.58,23.22,0,41.0,Male,East,9,0,0,Cash,Online,Silver,3,8,0,15.2,0,Spring,108377.0,4.0,219,21,8619.84,2154.96
T100112,P1112,Sports,26.74,40.87,0,31.0,Female,North,10,0,0,Wallet,Offline,Gold,3,8,0,11.09,0,Autumn,128770.0,4.0,297,29,-4196.61,-419.66
T100113,P1113,Home,63.08,25.39,1,67.0,Female,North,10,1,0,Credit Card,Online,Gold,1,7,0,15.21,0,Spring,109831.0,1.0,422,42,15905.18,2385.78
T100114,P1114,Grocery,151.95,24.79,0,22.0,Male,South,8,0,1,Credit Card,Online,Platinum,5,4,0,35.38,0,Summer,30495.0,5.0,333,33,42344.28,2117.21
T100115,P1115,Home,74.74,46.52,0,63.0,Male,North,2,0,0,Debit Card,Online,Platinum,1,1,0,26.26,0,Spring,32524.0,3.0,345,34,9735.9,1460.38
T100116,P1116,Home,3738.661123844819,44.5,1,39.0,Female,North,1,0,0,Cash,Offline,Platinum,1,9,0,5.37,0,Summer,90121.0,4.0,473,47,29590.88,4438.63
T100117,P1117,Electronics,46.25,39.29,1,39.0,Male,South,8,0,1,Credit Card,Offline,Bronze,1,7,0,6.85,0,Autumn,88248.0,1.0,397,39,2763.12,690.78
T100118,P1118,Home,92.29,14.81,0,27.0,Female,West,2,0,0,Debit Card,Offline,Bronze,1,1,0,18.93,0,Summer,25405.0,1.0,203,20,15728.44,2359.27
T100119,P1119,Grocery,66.39,27.25,1,43.0,Female,East,4,0,0,Credit Card,Online,Platinum,1,5,0,16.93,0,Spring,79047.0,1.0,408,40,15969.12,798.46
T100120,P1120,Home,28.06,11.19,1,32.0,Male,North,12,0,0,Debit Card,Offline,Silver,3,3,0,42.59,0,Winter,45112.0,,271,27,4571.77,685.77
T100121,P1121,Home,68.24,22.2,0,55.0,Female,South,4,0,1,Wallet,Offline,Platinum,3,2,0,28.61,0,Autumn,114217.0,1.0,293,29,13489.72,2023.46
T100122,P1122,Clothing,27.27,24.21,0,58.0,Female,North,2,0,1,Debit Card,Online,Bronze,1,3,0,9.34,0,Autumn,,1.0,255,25,780.3,156.06
T100123,P1123,Electronics,35.06,41.58,1,,Female,East,4,0,0,Wallet,Online,Gold,4,6,0,1.42,0,Spring,115544.0,4.0,419,41,-2731.88,-682.97
T100124,P1124,Clothing,62.34,44.8,1,66.0,Female,South,7,1,0,UPI,Online,Silver,4,7,0,5.12,0,Autumn,90306.0,3.0,498,49,8734.92,1746.98
T100125,P1125,Clothing,67.23,20.73,1,18.0,Female,West,6,0,0,Credit Card,Online,Silver,5,9,0,35.02,0,Summer,87866.0,,319,31,14833.5,2966.7
T100126,P1126,Home,23.75,0.89,1,31.0,Female,West,10,0,0,UPI,Online,Silver,4,7,0,42.35,0,Winter,50971.0,1.0,224,22,5120.64,768.1
T100127,P1127,Home,114.18,43.09,1,53.0,Male,North,6,0,0,Cash,Online,Bronze,2,1,0,39.13,1,Spring,68067.0,1.0,411,41,29217.99,4382.7
T100128,P1128,Electronics,81.48,8.71,1,48.0,Female,West,4,0,0,UPI,Online,Silver,2,7,0,39.49,0,Autumn,56859.0,1.0,229,22,16664.33,4166.08
T100129,P1129,Grocery,33.34,31.09,0,45.0,Female,West,2,0,0,Debit Card,Online,Silver,4,1,0,13.05,0,Summer,42077.0,1.0,289,28,650.25,32.51
T100130,P1130,Clothing,18.61,1.25,1,51.0,Male,South,5,0,1,Debit Card,Offline,Gold,1,8,0,49.45,0,Summer,76015.0,2.0,268,26,4652.48,930.5
T100131,P1131,Clothing,49.33,19.98,0,52.0,Male,North,11,0,0,Cash,Offline,Silver,4,2,0,4.32,0,Autumn,85948.0,2.0,225,22,6603.75,1320.75
T100132,P1132,Electronics,39.96,49.3,0,56.0,Male,East,3,0,0,Cash,Online,Bronze,2,2,0,41.05,1,Spring,102274.0,1.0,288,28,-2689.92,-672.48
T100133,P1133,Clothing,59.1,5.03,1,40.0,Female,North,3,1,1,Credit Card,Offline,Silver,4,1,0,4.84,0,Summer,87732.0,1.0,346,34,18708.22,3741.64
T100134,P1134,Sports,42.34,21.18,0,63.0,Male,South,4,1,0,Debit Card,Online,Bronze,3,9,0,13.38,0,Autumn,126664.0,5.0,280,28,5924.8,592.48
T100135,P1135,Clothing,13.39,15.36,1,61.0,Female,North,11,1,1,Cash,Offline,Gold,5,8,0,24.77,1,Spring,59326.0,5.0,413,41,-813.61,-162.72
T100136,P1136,Grocery,41.6,45.25,0,36.0,Female,South,11,1,0,UPI,Offline,Gold,3,9,0,2.67,0,Spring,73394.0,3.0,418,41,-1525.7,-76.29
T100137,P1137,Grocery,44.08,43.47,1,,Female,West,5,0,1,Debit Card,Offline,Silver,3,8,0,19.71,0,Summer,144395.0,,480,48,292.8,14.64
T100138,P1138,Clothing,85.08,11.88,0,32.0,Female,North,11,0,1,Cash,Online,Platinum,5,4,0,17.51,0,Spring,81733.0,4.0,271,27,19837.2,3967.44
T100139,P1139,Sports,33.49,4.06,1,18.0,Male,East,2,0,0,Credit Card,Online,Gold,1,9,0,32.36,0,Winter,90559.0,3.0,254,25,7475.22,747.52
T100140,P1140,Sports,176.81,31.36,0,42.0,Female,North,6,1,0,Wallet,Online,Silver,5,8,0,35.9,0,Summer,57891.0,3.0,327,32,47562.15,4756.22
T100141,P1141,Clothing,14.32,,1,43.0,Female,East,6,0,0,Debit Card,Online,Gold,1,1,0,4.52,0,Spring,67181.0,1.0,316,31,-790.0,-158.0
T100142,P1142,Grocery,136.7,33.6,0,52.0,Female,South,8,0,0,Debit Card,Online,Gold,2,5,1,1.9,0,Winter,147552.0,1.0,322,32,33198.2,1659.91
T100143,P1143,Clothing,46.66,1.61,0,32.0,Female,North,2,0,0,Debit Card,Online,Bronze,4,9,0,38.79,0,Winter,77447.0,4.0,175,17,7883.75,1576.75
T100144,P1144,Clothing,99.65,6.67,0,,Female,South,8,0,0,Debit Card,Offline,Platinum,2,8,0,26.4,0,Summer,129138.0,5.0,234,23,21757.32,4351.46
T100145,P1145,Electronics,57.73,34.32,1,32.0,Female,East,8,0,1,Wallet,Offline,Bronze,2,1,0,26.73,0,Autumn,102991.0,1.0,372,37,8708.52,2177.13
T100146,P1146,Grocery,121.23,10.62,1,59.0,Male,North,4,0,1,Wallet,Online,Silver,2,6,0,49.04,0,Spring,83903.0,2.0,309,30,34178.49,1708.92
T100147,P1147,Grocery,41.63,42.88,1,55.0,Male,East,7,1,1,Credit Card,Online,Silver,4,6,0,21.89,0,Winter,27036.0,4.0,560,56,-700.0,-35.0
T100148,P1148,Electronics,25.3,2.93,1,62.0,Female,South,7,0,0,Debit Card,Offline,Bronze,1,2,0,9.81,1,Summer,128807.0,4.0,202,20,4518.74,1129.68
T100149,P1149,Clothing,147.58,10.77,1,56.0,Female,North,1,1,0,Cash,Offline,Platinum,5,2,0,34.03,0,Spring,51364.0,1.0,374,37,51166.94,10233.39
T100150,P1150,Sports,50.43,49.93,0,18.0,Female,West,1,0,1,UPI,Offline,Platinum,1,1,0,40.78,0,Autumn,,4.0,368,36,184.0,18.4
T100151,P1151,Clothing,63.76,21.65,1,39.0,Female,South,8,1,0,Debit Card,Online,Platinum,1,6,0,25.12,0,Spring,26320.0,5.0,428,42,18023.08,3604.62
T100152,P1152,Electronics,129.58,35.15,1,28.0,Female,North,11,0,0,Wallet,Online,Gold,3,9,0,34.59,0,Autumn,99557.0,1.0,381,38,35977.83,8994.46
